2	CHN-HOK-JIU	Jiulong Shixiaqu	CHN	China	114.192124	22.324389	0.003677	[[[[114.2534501377138, 22.297149789031614], [114.2016500880811, 22.328750167086596], [114.21495016092123, 22.303749913527703], [114.16834999135907, 22.29374990203639], [114.12925016766118, 22.34074982024803], [114.21154982426506, 22.347849967801835], [114.2534501377138, 22.297149789031614]]], [[[114.13875015609497, 22.32554992958564], [114.14335018836064, 22.315349818939033], [114.12955009156352, 22.32085007257283], [114.13875015609497, 22.32554992958564]]]]
3	CHN-HOK-XIA	Xianggangdao Shixiaqu	CHN	China	114.195121	22.255716	0.007207	[[[[114.23334984032292, 22.28625000673248], [114.21835004791646, 22.19455018554266], [114.1866498460137, 22.244549792439038], [114.17165005360707, 22.22955000093185], [114.16415015740395, 22.245450013807158], [114.15495009287261, 22.247950129095194], [114.14415013532052, 22.247849854687132], [114.13914990474444, 22.25034996997517], [114.13575001774922, 22.248750076055245], [114.11625001782411, 22.274950025223482], [114.23334984032292, 22.28625000673248]]], [[[114.16035007209824, 22.239450186776757], [114.15664981153967, 22.234549781847], [114.14454988397007, 22.244150043789567], [114.1483499692757, 22.24704990772708], [114.1591499268277, 22.246150136019985], [114.16035007209824, 22.239450186776757]]], [[[114.18235018731139, 22.23695007148863], [114.18955015961232, 22.23415003319753], [114.1841501803866, 22.23205011621998], [114.18235018731139, 22.23695007148863]]], [[[114.18495012734664, 22.213649987157268], [114.1841501803866, 22.218750042480487], [114.18864993824411, 22.216650125502937], [114.18495012734664, 22.213649987157268]]], [[[114.11164998555843, 22.282949944484386], [114.11035001554085, 22.28665020414369], [114.11415010084656, 22.28704995279316], [114.11164998555843, 22.282949944484386]]], [[[114.16035007209824, 22.230849970949443], [114.16165004211584, 22.233749834887043], [114.16244998907578, 22.228750053971893], [114.16035007209824, 22.230849970949443]]], [[[114.25835009298245, 22.228750053971893], [114.25614990159674, 22.230849970949443], [114.26085020827057, 22.23125016925993], [114.25835009298245, 22.228750053971893]]]]
4	CHN-HOK-XIN	Xinjie Shixiaqu	CHN	China	114.127615	22.396127	0.084762	[[[[113.9190502166748, 22.151952743530273], [113.92155265808105, 22.155351638793945], [113.92194938659668, 22.1523494720459], [113.9190502166748, 22.151952743530273]]], [[[113.90374946594238, 22.162351608276367], [113.91534996032715, 22.16655158996582], [113.89904975891113, 22.155351638793945], [113.90374946594238, 22.162351608276367]]], [[[113.89735221862793, 22.168649673461914], [113.89525032043457, 22.170751571655273], [113.89985084533691, 22.172849655151367], [113.89735221862793, 22.168649673461914]]], [[[113.92234992980957, 22.175352096557617], [113.92065238952637, 22.179452896118164], [113.92445182800293, 22.178251266479492], [113.92234992980957, 22.175352096557617]]], [[[114.25565147399902, 22.155649185180664], [114.2658519744873, 22.182050704956055], [114.27414894104004, 22.162050247192383], [114.25565147399902, 22.155649185180664]]], [[[113.91555213928223, 22.181352615356445], [113.90405082702637, 22.176950454711914], [113.90275001525879, 22.184850692749023], [113.91555213928223, 22.181352615356445]]], [[[114.30585289001465, 22.18454933166504], [114.30455207824707, 22.189149856567383], [114.30665016174316, 22.189550399780273], [114.30585289001465, 22.18454933166504]]], [[[114.25085258483887, 22.17955207824707], [114.24295234680176, 22.188352584838867], [114.25584983825684, 22.19045066833496], [114.25085258483887, 22.17955207824707]]], [[[114.28375053405762, 22.183351516723633], [114.28835105895996, 22.191251754760742], [114.28954887390137, 22.181650161743164], [114.28375053405762, 22.183351516723633]]], [[[113.9815502166748, 22.190351486206055], [113.98735237121582, 22.20115089416504], [113.99195289611816, 22.189050674438477], [113.9815502166748, 22.190351486206055]]], [[[113.83365058898926, 22.214052200317383], [113.83315086364746, 22.216951370239258], [113.83695030212402, 22.215749740600586], [113.83365058898926, 22.214052200317383]]], [[[114.10375022888184, 22.21925163269043], [114.16085243225098, 22.210451126098633], [114.15004920959473, 22.181249618530273], [114.10375022888184, 22.21925163269043]]], [[[114.01815223693848, 22.201749801635742], [114.03535270690918, 22.224149703979492], [114.04045295715332, 22.2049503326416], [114.01815223693848, 22.201749801635742]]], [[[114.13335227966309, 22.2237491607666], [114.13575172424316, 22.227052688598633], [114.13625144958496, 22.224149703979492], [114.13335227966309, 22.2237491607666]]], [[[114.29705238342285, 22.244951248168945], [114.28045082092285, 22.252450942993164], [114.29585075378418, 22.259550094604492], [114.29705238342285, 22.244951248168945]]], [[[114.0346508026123, 22.250951766967773], [114.04245185852051, 22.2596492767334], [114.04625129699707, 22.24245262145996], [114.0346508026123, 22.250951766967773]]], [[[114.34914970397949, 22.253751754760742], [114.35165214538574, 22.262052536010742], [114.35294914245605, 22.254152297973633], [114.34914970397949, 22.253751754760742]]], [[[114.04915046691895, 22.257051467895508], [114.04625129699707, 22.262449264526367], [114.05415153503418, 22.266252517700195], [114.04915046691895, 22.257051467895508]]], [[[114.3475513458252, 22.263750076293945], [114.34835243225098, 22.272050857543945], [114.35125160217285, 22.26835060119629], [114.3475513458252, 22.263750076293945]]], [[[114.31245231628418, 22.27454948425293], [114.31495094299316, 22.278749465942383], [114.31625175476074, 22.275850296020508], [114.31245231628418, 22.27454948425293]]], [[[114.27454948425293, 22.27985191345215], [114.26375007629395, 22.27495002746582], [114.26664924621582, 22.282949447631836], [114.27454948425293, 22.27985191345215]]], [[[114.07494926452637, 22.28285026550293], [114.07415199279785, 22.287050247192383], [114.07954978942871, 22.28754997253418], [114.07494926452637, 22.28285026550293]]], [[[114.05665016174316, 22.287851333618164], [114.05624961853027, 22.29005241394043], [114.0600528717041, 22.291250228881836], [114.05665016174316, 22.287851333618164]]], [[[114.03975105285645, 22.281251907348633], [114.0345516204834, 22.290849685668945], [114.04414939880371, 22.293752670288086], [114.03975105285645, 22.281251907348633]]], [[[113.90525245666504, 22.29734992980957], [113.90405082702637, 22.301149368286133], [113.90654945373535, 22.301149368286133], [113.90525245666504, 22.29734992980957]]], [[[113.93485069274902, 22.29034996032715], [113.92365074157715, 22.312349319458008], [113.94235038757324, 22.322050094604492], [113.93485069274902, 22.29034996032715]]], [[[114.36784934997559, 22.309049606323242], [114.36165046691895, 22.322050094604492], [114.36955070495605, 22.316652297973633], [114.36784934997559, 22.309049606323242]]], [[[114.35125160217285, 22.316450119018555], [114.34914970397949, 22.326250076293945], [114.35745048522949, 22.327051162719727], [114.35125160217285, 22.316450119018555]]], [[[113.9632511138916, 22.32615089416504], [113.9632511138916, 22.33194923400879], [113.96695137023926, 22.329851150512695], [113.9632511138916, 22.32615089416504]]], [[[114.29464912414551, 22.32415199279785], [114.29414939880371, 22.332849502563477], [114.30204963684082, 22.327451705932617], [114.29464912414551, 22.32415199279785]]], [[[114.37244987487793, 22.327852249145508], [114.37005043029785, 22.333749771118164], [114.37875175476074, 22.32914924621582], [114.37244987487793, 22.327852249145508]]], [[[113.97905158996582, 22.33205223083496], [113.97775077819824, 22.336549758911133], [113.98064994812012, 22.338651657104492], [113.97905158996582, 22.33205223083496]]], [[[114.33245277404785, 22.334550857543945], [114.33245277404785, 22.3387508392334], [114.33545112609863, 22.334951400756836], [114.33245277404785, 22.334550857543945]]], [[[114.31475257873535, 22.340150833129883], [114.33085060119629, 22.327852249145508], [114.3199520111084, 22.326250076293945], [114.31475257873535, 22.340150833129883]]], [[[114.36335182189941, 22.330350875854492], [114.35955238342285, 22.33664894104004], [114.36665153503418, 22.340349197387695], [114.36335182189941, 22.330350875854492]]], [[[114.0616512298584, 22.33955192565918], [114.06245231628418, 22.342851638793945], [114.06374931335449, 22.33995246887207], [114.0616512298584, 22.33955192565918]]], [[[113.88694953918457, 22.34235191345215], [113.88905143737793, 22.34535026550293], [113.88915061950684, 22.340349197387695], [113.88694953918457, 22.34235191345215]]], [[[113.99535179138184, 22.266752243041992], [113.99905204772949, 22.212751388549805], [113.84325218200684, 22.19365119934082], [113.89484977722168, 22.29195213317871], [113.92984962463379, 22.278650283813477], [113.97565269470215, 22.294450759887695], [114.05075263977051, 22.347150802612305], [113.99535179138184, 22.266752243041992]]], [[[113.8840503692627, 22.348649978637695], [113.88285255432129, 22.35065269470215], [113.88655281066895, 22.35284996032715], [113.8840503692627, 22.348649978637695]]], [[[114.0632495880127, 22.35685157775879], [114.05915260314941, 22.342851638793945], [114.0528507232666, 22.349950790405273], [114.0632495880127, 22.35685157775879]]], [[[114.0887508392334, 22.3299503326416], [114.07785224914551, 22.35915184020996], [114.10165214538574, 22.363752365112305], [114.0887508392334, 22.3299503326416]]], [[[114.10455131530762, 22.364049911499023], [114.10865211486816, 22.362451553344727], [114.10835075378418, 22.35955238342285], [114.10455131530762, 22.364049911499023]]], [[[114.3381519317627, 22.37285041809082], [114.37624931335449, 22.359949111938477], [114.35835075378418, 22.336252212524414], [114.3381519317627, 22.37285041809082]]], [[[114.29495048522949, 22.353952407836914], [114.28625297546387, 22.367551803588867], [114.29245185852051, 22.377050399780273], [114.29495048522949, 22.353952407836914]]], [[[114.32724952697754, 22.365549087524414], [114.32085227966309, 22.37795066833496], [114.32954978942871, 22.373350143432617], [114.32724952697754, 22.365549087524414]]], [[[113.87745094299316, 22.376951217651367], [113.88285255432129, 22.378950119018555], [113.88155174255371, 22.367849349975586], [113.87745094299316, 22.376951217651367]]], [[[114.31265068054199, 22.37944984436035], [114.32335090637207, 22.342851638793945], [114.3028507232666, 22.351652145385742], [114.31265068054199, 22.37944984436035]]], [[[114.30534934997559, 22.378652572631836], [114.3033504486084, 22.37455177307129], [114.30075263977051, 22.381250381469727], [114.30534934997559, 22.378652572631836]]], [[[114.27915000915527, 22.379552841186523], [114.27915000915527, 22.382951736450195], [114.28285026550293, 22.37994956970215], [114.27915000915527, 22.379552841186523]]], [[[114.22084999084473, 22.43705177307129], [114.22245216369629, 22.442049026489258], [114.22284889221191, 22.439149856567383], [114.22084999084473, 22.43705177307129]]], [[[114.22585105895996, 22.449552536010742], [114.22625160217285, 22.45665168762207], [114.23455238342285, 22.458349227905273], [114.22585105895996, 22.449552536010742]]], [[[114.22094917297363, 22.46415138244629], [114.22295188903809, 22.461652755737305], [114.22005271911621, 22.460351943969727], [114.22094917297363, 22.46415138244629]]], [[[114.33085060119629, 22.477052688598633], [114.32954978942871, 22.48164939880371], [114.33085060119629, 22.4820499420166], [114.33085060119629, 22.477052688598633]]], [[[114.35455131530762, 22.479951858520508], [114.36454963684082, 22.484949111938477], [114.36084938049316, 22.465452194213867], [114.35455131530762, 22.479951858520508]]], [[[114.37085151672363, 22.482152938842773], [114.36915016174316, 22.48545265197754], [114.37294960021973, 22.48415184020996], [114.37085151672363, 22.482152938842773]]], [[[114.3554515838623, 22.4991512298584], [114.35664939880371, 22.505449295043945], [114.3637523651123, 22.50494956970215], [114.3554515838623, 22.4991512298584]]], [[[114.30875205993652, 22.52195167541504], [114.3204517364502, 22.5174503326416], [114.29744911193848, 22.50535011291504], [114.29375267028809, 22.513349533081055], [114.30875205993652, 22.52195167541504]]], [[[114.28495216369629, 22.51875114440918], [114.28415107727051, 22.522050857543945], [114.28875160217285, 22.520849227905273], [114.28495216369629, 22.51875114440918]]], [[[114.27414894104004, 22.53285026550293], [114.27504920959473, 22.5362491607666], [114.27705192565918, 22.534151077270508], [114.27414894104004, 22.53285026550293]]], [[[114.31715202331543, 22.52495002746582], [114.30835151672363, 22.5362491607666], [114.3199520111084, 22.538652420043945], [114.31715202331543, 22.52495002746582]]], [[[114.30375099182129, 22.540552139282227], [114.30954933166504, 22.542451858520508], [114.30665016174316, 22.53795051574707], [114.30375099182129, 22.540552139282227]]], [[[114.32914924621582, 22.54045295715332], [114.33085060119629, 22.543752670288086], [114.33205223083496, 22.540849685668945], [114.32914924621582, 22.54045295715332]]], [[[114.26415061950684, 22.54115104675293], [114.2658519744873, 22.5445499420166], [114.26704978942871, 22.542451858520508], [114.26415061950684, 22.54115104675293]]], [[[114.26004981994629, 22.551252365112305], [114.25995063781738, 22.55375099182129], [114.26284980773926, 22.553251266479492], [114.26004981994629, 22.551252365112305]]], [[[114.42925071716309, 22.54195213317871], [114.43084907531738, 22.55455207824707], [114.44125175476074, 22.540849685668945], [114.42925071716309, 22.54195213317871]]], [[[114.26915168762207, 22.550352096557617], [114.26664924621582, 22.555452346801758], [114.27115058898926, 22.55164909362793], [114.26915168762207, 22.550352096557617]]], [[[114.23125267028809, 22.55585289001465], [114.20915031433105, 22.5262508392334], [114.25584983825684, 22.551149368286133], [114.27124977111816, 22.5091495513916], [114.28255271911621, 22.51295280456543], [114.3033504486084, 22.49955177307129], [114.33334922790527, 22.51295280456543], [114.33535194396973, 22.506650924682617], [114.16755104064941, 22.455350875854492], [114.19035148620605, 22.380849838256836], [114.3199520111084, 22.481252670288086], [114.40535163879395, 22.414152145385742], [114.37994956970215, 22.363752365112305], [114.27824974060059, 22.39375114440918], [114.27615165710449, 22.351652145385742], [114.25205039978027, 22.355852127075195], [114.30705070495605, 22.26835060119629], [114.25345039367676, 22.297151565551758], [114.21154975891113, 22.34785270690918], [114.12925148010254, 22.340749740600586], [114.10915184020996, 22.37204933166504], [114.01915168762207, 22.356149673461914], [113.96825218200684, 22.392751693725586], [113.92405128479004, 22.36775016784668], [113.9002513885498, 22.404050827026367], [114.08334922790527, 22.52964973449707], [114.23125267028809, 22.55585289001465]], [[114.31505012512207, 22.388750076293945], [114.31585121154785, 22.384550094604492], [114.31794929504395, 22.38755226135254], [114.31505012512207, 22.388750076293945]], [[114.3846492767334, 22.404150009155273], [114.38665199279785, 22.4012508392334], [114.38625144958496, 22.404951095581055], [114.3846492767334, 22.404150009155273]]], [[[114.29655265808105, 22.535749435424805], [114.28835105895996, 22.556249618530273], [114.31615257263184, 22.550851821899414], [114.29655265808105, 22.535749435424805]]], [[[114.55994987487793, 22.697050094604492], [114.56335258483887, 22.700349807739258], [114.57285118103027, 22.6966495513916], [114.55994987487793, 22.697050094604492]]]]
5	CHN-MAC	Macao SAR	CHN	China	113.552654	22.161364	0.001498	[[[[113.55025000773176, 22.213350063254936], [113.53115020611725, 22.21075012321967], [113.5478501668517, 22.216549851094783], [113.55025000773176, 22.213350063254936]]], [[[113.55394981772994, 22.111049934007298], [113.56325015666945, 22.13535006535328], [113.5861500435897, 22.13154998004756], [113.55394981772994, 22.111049934007298]]], [[[113.54644992242604, 22.15535008743663], [113.54075001929797, 22.16284998363991], [113.5728499698503, 22.160750066662274], [113.54644992242604, 22.15535008743663]]]]
6	CHN-ANH-ANQ-ANQ	Anqing Shi Shixiaqu	CHN	China	117.125955	30.583496	0.043810	[[[117.21645002714705, 30.626349823085988], [117.21695005020467, 30.475550156114853], [117.003750024644, 30.495050155140582], [116.97545015849813, 30.555150047936433], [117.05295013424136, 30.66654996730718], [117.13674986001811, 30.738149940767226], [117.21645002714705, 30.626349823085988]]]
7	CHN-ANH-ANQ-HUA	Huaining Xian	CHN	China	116.798096	30.579671	0.152413	[[[116.90244994151172, 30.806750224643256], [117.05295013424136, 30.66654996730718], [116.97545015849813, 30.555150047936433], [117.003750024644, 30.495050155140582], [116.89985000147645, 30.357350013092724], [116.7979500705394, 30.42355000732704], [116.49424992029762, 30.378949929995283], [116.47235007949273, 30.46234990712258], [116.62985014536802, 30.4557497826264], [116.61475007945259, 30.636450108985372], [116.76615004388951, 30.824849980142524], [116.90244994151172, 30.806750224643256]]]
8	CHN-ANH-ANQ-QIA	Qianshan Xian	CHN	China	116.542061	30.750189	0.158530	[[[116.69715001046472, 31.04404983183431], [116.68694989981803, 30.883449803765497], [116.76615004388951, 30.824849980142524], [116.61475007945259, 30.636450108985372], [116.62985014536802, 30.4557497826264], [116.47235007949273, 30.46234990712258], [116.42674995604571, 30.57114988645815], [116.23935013100382, 30.65745017718398], [116.44784984989074, 30.80334988798701], [116.5181498533332, 31.018649830525316], [116.69715001046472, 31.04404983183431]]]
9	CHN-ANH-ANQ-SUS	Susong Xian	CHN	China	116.246773	30.101354	0.224829	[[[116.45465007354213, 30.149549966757608], [116.5926501394924, 30.046949913607726], [116.54474999991257, 29.904549914546966], [116.25625019089365, 29.777950104513742], [116.13064997641538, 29.824549824414895], [116.06094982167706, 30.20775004173111], [115.90624979499214, 30.3037499703849], [115.93295021597973, 30.425149901246964], [116.22464981283858, 30.37004978936635], [116.45465007354213, 30.149549966757608]]]
10	CHN-ANH-ANQ-TAI	Taihu Xian	CHN	China	116.170787	30.495206	0.193395	[[[115.83095001063452, 30.760150055081084], [115.88314980891661, 30.698550093112356], [116.23935013100382, 30.65745017718398], [116.42674995604571, 30.57114988645815], [116.47235007949273, 30.46234990712258], [116.49424992029762, 30.378949929995283], [116.43895015892284, 30.320850129429935], [116.45465007354213, 30.149549966757608], [116.22464981283858, 30.37004978936635], [115.93295021597973, 30.425149901246964], [115.76115003114907, 30.668149861227192], [115.83095001063452, 30.760150055081084]]]
11	CHN-ANH-ANQ-TON	Tongcheng Shi	CHN	China	116.944090	30.972381	0.154979	[[[117.0353499521386, 31.260150170993686], [117.15555018739133, 31.08135011301736], [117.08134982423508, 30.95324978325096], [117.13674986001811, 30.738149940767226], [117.05295013424136, 30.66654996730718], [116.90244994151172, 30.806750224643256], [116.76615004388951, 30.824849980142524], [116.68694989981803, 30.883449803765497], [116.69715001046472, 31.04404983183431], [117.0353499521386, 31.260150170993686]]]
